#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,,,,,
Dataset: Carbon dioxide emissions embodied in international trade,,,,,,,,,,,,
Indicator,,"FD_CO2: CO2 emissions embodied in domestic final demand, by source country and industry",,,,,,,,,,
Industry,,DTOTAL: TOTAL,,,,,,,,,,
Partner,,WLD: World,,,,,,,,,,
Unit,,"Tonnes, Millions",,,,,,,,,,
Time,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Country,,,,,,,,,,,,
WLD: World,,"27,069.6 ","27,924.3 ","28,979.7 ","29,202.9 ","28,815.2 ","30,489.9 ","31,338.3 ","31,669.2 ","32,287.8 ","32,327.8 ","32,276.0 "
OECD: OECD member countries,,"15,563.1 ","15,657.6 ","15,775.7 ","15,309.2 ","14,014.3 ","14,686.1 ","14,540.1 ","14,174.8 ","14,165.5 ","13,946.2 ","13,781.2 "
AUS: Australia,,418.4 ,421.0 ,444.6 ,441.4 ,434.0 ,446.2 ,450.3 ,469.4 ,448.0 ,423.1 ,426.4 
AUT: Austria,,95.3 ,95.4 ,94.5 ,92.3 ,86.5 ,89.7 ,90.3 ,86.2 ,86.5 ,83.0 ,83.4 
BEL: Belgium,,131.7 ,129.9 ,129.7 ,137.2 ,128.7 ,127.7 ,122.5 ,117.9 ,117.7 ,112.3 ,117.8 
CAN: Canada,,539.8 ,553.8 ,579.1 ,570.4 ,530.4 ,558.8 ,565.8 ,557.9 ,561.8 ,563.6 ,547.9 
CHL: Chile,,61.1 ,65.1 ,71.8 ,79.9 ,70.0 ,82.8 ,92.0 ,95.9 ,99.3 ,89.9 ,89.2 
CZE: Czech Republic,,104.7 ,106.9 ,111.2 ,111.4 ,102.0 ,109.3 ,107.4 ,98.9 ,95.8 ,93.4 ,91.8 
DNK: Denmark,,78.7 ,90.9 ,88.5 ,86.8 ,78.4 ,74.8 ,72.2 ,64.7 ,66.9 ,62.6 ,59.4 
EST: Estonia,,15.2 ,15.3 ,17.6 ,16.5 ,12.8 ,14.8 ,14.4 ,14.1 ,15.5 ,14.7 ,13.3 
FIN: Finland,,65.4 ,73.1 ,73.1 ,66.3 ,64.2 ,68.1 ,63.2 ,58.2 ,58.4 ,56.0 ,52.3 
FRA: France,,536.2 ,533.4 ,541.3 ,537.6 ,501.1 ,510.2 ,494.8 ,474.9 ,475.8 ,448.2 ,445.0 
DEU: Germany,,940.2 ,958.7 ,927.9 ,951.3 ,869.1 ,925.2 ,910.9 ,880.0 ,898.5 ,864.8 ,853.4 
GRC: Greece,,121.6 ,122.3 ,133.5 ,138.7 ,122.9 ,108.4 ,103.8 ,89.1 ,78.3 ,78.3 ,73.0 
HUN: Hungary,,68.1 ,65.6 ,64.3 ,63.3 ,55.4 ,55.6 ,53.1 ,48.0 ,46.1 ,46.2 ,48.3 
ISL: Iceland,,4.5 ,5.0 ,4.9 ,3.8 ,2.5 ,2.5 ,2.6 ,2.6 ,2.5 ,2.7 ,2.9 
IRL: Ireland,,63.3 ,67.0 ,70.0 ,68.0 ,59.0 ,56.3 ,48.9 ,48.6 ,47.5 ,48.6 ,46.7 
ISR: Israel,,83.8 ,83.8 ,88.1 ,88.3 ,85.3 ,92.5 ,95.7 ,98.9 ,90.3 ,89.2 ,88.3 
ITA: Italy,,584.5 ,591.9 ,588.7 ,576.8 ,506.2 ,526.8 ,517.4 ,464.9 ,436.2 ,418.8 ,423.0 
JPN: Japan,,"1,502.0 ","1,469.6 ","1,463.4 ","1,421.2 ","1,308.0 ","1,376.9 ","1,471.9 ","1,530.9 ","1,497.4 ","1,448.5 ","1,361.0 "
KOR: Korea,,546.9 ,575.3 ,591.7 ,564.7 ,519.9 ,578.1 ,608.4 ,584.0 ,583.0 ,576.6 ,584.8 
LVA: Latvia,,10.9 ,12.6 ,13.7 ,13.1 ,10.1 ,11.1 ,11.1 ,10.1 ,9.9 ,9.4 ,9.2 
LTU: Lithuania,,16.8 ,17.4 ,18.3 ,18.3 ,14.4 ,16.1 ,15.6 ,14.5 ,14.1 ,14.0 ,14.2 
LUX: Luxembourg,,11.7 ,11.1 ,10.9 ,11.0 ,9.8 ,10.3 ,10.6 ,10.4 ,10.0 ,9.2 ,9.1 
MEX: Mexico,,449.4 ,469.8 ,480.3 ,482.3 ,443.9 ,472.4 ,491.9 ,496.4 ,492.0 ,486.4 ,485.5 
NLD: Netherlands,,200.8 ,200.8 ,209.5 ,204.0 ,193.7 ,200.4 ,188.7 ,177.7 ,178.6 ,169.0 ,179.2 
NZL: New Zealand,,45.5 ,44.0 ,44.7 ,44.2 ,37.5 ,40.0 ,40.8 ,41.5 ,43.5 ,43.9 ,42.8 
NOR: Norway,,56.6 ,60.9 ,63.7 ,66.4 ,60.5 ,64.1 ,65.2 ,61.5 ,63.3 ,63.3 ,59.6 
